,Accident_code,Vehicle_type,Brand,Color,Years_license
192,2018S006221    ,Car,CITROEN,Grey,6.0
193,2018S006221    ,Car,RENAULT,Grey,1.0
194,2018S000820    ,Car,RENAULT,White,24.0
195,2018S002665    ,Bike,YAMAHA,Black,2.0
196,2018S002665    ,Car,RENAULT,Black,7.0
197,2018S004996    ,Bike,HONDA,Grey,8.0
198,2018S004996    ,Car,TOYOTA,White,17.0
199,2018S007098    ,Bike,GILERA,Black,10.0
201,2018S009616    ,Bike,HARLEYDAVIDSON,Black,12.0
205,2018S006721    ,Car,CITROEN,Grey,14.0
209,2018S002510    ,Bike,SYM,White,27.0
210,2018S002452    ,Bike,MONTESA,Red,5.0
213,2018S004034    ,Bike,HONDA,White,7.0
214,2018S004437    ,Bike,KYMCO,Grey,8.0
215,2018S004437    ,Bike,HONDA,Black,7.0
216,2018S003021    ,Bike,YAMAHA,Black,9.0
217,2018S003021    ,Car,VOLKSWAGEN,Black,22.0
218,2018S007646    ,Bike,HONDA,Grey,3.0
219,2018S007647    ,Bike,HONDA,Black,1.0
220,2018S000540    ,Bike,HONDA,Green,8.0
223,2018S006493    ,Car,AUDI,Black,2.0
224,2018S006493    ,Car,VOLKSWAGEN,Black,17.0
225,2018S006493    ,Car,SEAT,White,3.0
226,2018S006493    ,Car,SEAT,White,3.0
227,2018S006493    ,Car,VOLKSWAGEN,Grey,7.0
228,2018S006992    ,Bike,HONDA,Black,14.0
229,2018S007092    ,Bike,YAMAHA,Black,1.0
230,2018S007092    ,Car,BMW,Black,7.0
231,2018S007092    ,Car,HYUNDAI,Black,6.0
232,2018S006440    ,Car,MERCEDES,Grey,19.0
233,2018S006440    ,Car,RENAULT,White,8.0
234,2018S006440    ,Car,BMW,Black,23.0
235,2018S005611    ,Bike,HONDA,Black,4.0
236,2018S005611    ,Bike,YAMAHA,Grey,3.0
237,2018S006617    ,Bike,SUZUKI,Black,10.0
238,2018S006617    ,Car,TOYOTA,Grey,10.0
239,2018S002190    ,Bike,PEUGEOT,Red,11.0
240,2018S002190    ,Bike,YAMAHA,Purple,7.0
241,2018S000310    ,Bike,HONDA,Black,4.0
242,2018S000310    ,Car,TOYOTA,White,28.0
244,2018S006185    ,Car,KIA,Black,3.0
245,2018S006185    ,Car,NISSAN,Black,28.0
246,2018S007622    ,Bike,HONDA,Black,8.0
247,2018S007622    ,Car,LANCIA,Blue,3.0
248,2018S009144    ,Car,CITROEN,Black,24.0
249,2018S005709    ,Bike,HONDA,Grey,1.0
250,2018S005709    ,Bike,YAMAHA,Yellow,2.0
252,2018S001733    ,Car,BMW,Red,9.0
253,2018S003179    ,Car,VOLKSWAGEN,Grey,4.0
255,2018S000645    ,Bike,HYOSUNG,Black,35.0
256,2018S009337    ,Car,RENAULT,Blue,4.0
257,2018S002682    ,Bike,KYMCO,Black,6.0
258,2018S007968    ,Bike,HONDA,Black,16.0
259,2018S007968    ,Car,CITROEN,White,10.0
261,2018S008307    ,Car,AUDI,Black,25.0
262,2018S000686    ,Bike,HONDA,Green,11.0
266,2018S009614    ,Car,HYUNDAI,Green,21.0
267,2018S008433    ,Bike,PIAGGIO,Blue,8.0
269,2018S007585    ,Car,RENAULT,Grey,2.0
270,2018S009299    ,Bike,YAMAHA,Black,1.0
271,2018S009299    ,Car,OPEL,Black,9.0
272,2018S004381    ,Car,CITROEN,White,6.0
