,Numero_expedient,Vehicle_type,Gender,Age,People_type
217,2018S000196    ,Bike,Woman,28,Driver
218,2018S000197    ,Bike,Man,54,Driver
219,2018S000198    ,Bike,Woman,28,Driver
220,2018S000199    ,Car,Man,42,Driver
224,2018S000203    ,Bike,Man,42,Driver
225,2018S000205    ,Bike,Woman,28,Driver
226,2018S000206    ,Bike,Woman,28,Driver
227,2018S000207    ,Bike,Man,43,Driver
228,2018S000208    ,Bike,Man,65,Driver
229,2018S000209    ,Bike,Man,26,Driver
230,2018S000210    ,Bike,Man,50,Driver
231,2018S000211    ,Bike,Man,64,Driver
233,2018S000212    ,Car,Man,59,Driver
234,2018S000213    ,Bike,Man,26,Driver
235,2018S000213    ,Car,Man,22,Driver
236,2018S000214    ,Bike,Man,42,Driver
239,2018S000217    ,Bike,Man,46,Driver
241,2018S000219    ,Bike,Man,41,Driver
242,2018S000220    ,Bike,Woman,20,Driver
244,2018S000221    ,Bike,Woman,24,Driver
246,2018S000222    ,Bike,Man,46,Driver
249,2018S000225    ,Bike,Man,28,Driver
250,2018S000226    ,Bike,Woman,36,Driver
251,2018S000227    ,Car,Woman,59,Driver
252,2018S000228    ,Bike,Woman,29,Driver
256,2018S000230    ,Bike,Man,43,Driver
257,2018S000231    ,Bike,Man,57,Driver
258,2018S000232    ,Bike,Man,36,Driver
260,2018S000233    ,Bike,Man,20,Driver
263,2018S000236    ,Bike,Man,25,Driver
264,2018S000237    ,Bike,Woman,46,Driver
265,2018S000238    ,Bike,Man,37,Driver
267,2018S000240    ,Bike,Man,30,Driver
268,2018S000241    ,Bike,Woman,20,Driver
269,2018S000242    ,Bike,Man,44,Driver
271,2018S000243    ,Bike,Man,50,Driver
272,2018S000244    ,Bike,Woman,55,Driver
273,2018S000245    ,Bike,Man,38,Driver
274,2018S000246    ,Bike,Man,65,Driver
275,2018S000247    ,Bike,Man,73,Driver
276,2018S000249    ,Bike,Man,27,Driver
277,2018S000251    ,Bike,Man,32,Driver
280,2018S000253    ,Bike,Man,35,Driver
281,2018S000254    ,Bike,Woman,49,Driver
282,2018S000254    ,Bike,Man,34,Driver
284,2018S000256    ,Bike,Man,30,Driver
285,2018S000257    ,Bike,Woman,40,Driver
286,2018S000259    ,Car,Man,46,Driver
287,2018S000260    ,Bike,Man,38,Driver
290,2018S000262    ,Bike,Man,29,Driver
291,2018S000263    ,Bike,Man,28,Driver
292,2018S000264    ,Bike,Woman,30,Driver
294,2018S000265    ,Bike,Man,44,Driver
296,2018S000268    ,Bike,Man,38,Driver
297,2018S000269    ,Bike,Man,39,Driver
298,2018S000270    ,Bike,Woman,50,Driver
300,2018S000272    ,Bike,Woman,45,Driver
302,2018S000274    ,Bike,Woman,51,Driver
303,2018S000275    ,Car,Woman,25,Driver
304,2018S000276    ,Bike,Woman,47,Driver
305,2018S000277    ,Bike,Man,38,Driver
306,2018S000278    ,Car,Woman,20,Driver
308,2018S000279    ,Bike,Woman,26,Driver
309,2018S000280    ,Bike,Man,39,Driver
310,2018S000281    ,Bike,Woman,60,Driver
311,2018S000282    ,Bike,Man,17,Driver
312,2018S000283    ,Bike,Man,52,Driver
314,2018S000285    ,Bike,Man,26,Driver
315,2018S000286    ,Bike,Man,57,Driver
316,2018S000287    ,Car,Woman,37,Driver
317,2018S000288    ,Bike,Man,61,Driver
318,2018S000288    ,Bike,Man,33,Driver
319,2018S000289    ,Bike,Woman,32,Driver
321,2018S000290    ,Bike,Man,53,Driver
325,2018S000292    ,Bike,Man,65,Driver
326,2018S000293    ,Bike,Man,40,Driver
327,2018S000294    ,Bike,Man,31,Driver
328,2018S000294    ,Bike,Man,49,Driver
329,2018S000295    ,Bike,Woman,26,Driver
333,2018S000297    ,Bike,Man,60,Driver
334,2018S000298    ,Bike,Man,28,Driver
335,2018S000300    ,Bike,Man,41,Driver
337,2018S000302    ,Bike,Man,23,Driver
340,2018S000306    ,Car,Man,25,Driver
341,2018S000307    ,Bike,Woman,27,Driver
342,2018S000308    ,Bike,Man,38,Driver
343,2018S000309    ,Bike,Man,50,Driver
344,2018S000310    ,Bike,Man,21,Driver
346,2018S000314    ,Bike,Man,42,Driver
347,2018S000315    ,Bike,Woman,30,Driver
348,2018S000316    ,Bike,Woman,35,Driver
349,2018S000317    ,Bike,Man,26,Driver
350,2018S000318    ,Bike,Man,17,Driver
352,2018S000320    ,Car,Man,69,Driver
353,2018S000321    ,Car,Man,29,Driver
354,2018S000322    ,Bike,Man,26,Driver
355,2018S000323    ,Bike,Woman,58,Driver
356,2018S000324    ,Bike,Man,20,Driver
357,2018S000326    ,Bike,Man,34,Driver
360,2018S000328    ,Car,Man,26,Driver
366,2018S000334    ,Bike,Man,22,Driver
369,2018S000336    ,Bike,Man,37,Driver
370,2018S000337    ,Bike,Man,25,Driver
375,2018S000338    ,Car,Man,42,Driver
376,2018S000339    ,Bike,Man,25,Driver
380,2018S000345    ,Bike,Man,28,Driver
381,2018S000346    ,Bike,Man,32,Driver
382,2018S000349    ,Car,Man,31,Driver
383,2018S000350    ,Bike,Woman,42,Driver
389,2018S000354    ,Bike,Man,41,Driver
393,2018S000357    ,Bike,Man,27,Driver
394,2018S000358    ,Bike,Man,20,Driver
397,2018S000362    ,Car,Man,26,Driver
398,2018S000363    ,Bike,Woman,48,Driver
399,2018S000364    ,Bike,Man,43,Driver
400,2018S000365    ,Bike,Man,30,Driver
401,2018S000365    ,Bike,Man,56,Driver
402,2018S000366    ,Car,Woman,45,Driver
404,2018S000368    ,Bike,Man,26,Driver
405,2018S000369    ,Bike,Woman,29,Driver
406,2018S000370    ,Bike,Man,42,Driver
407,2018S000371    ,Bike,Woman,51,Driver
409,2018S000372    ,Car,Woman,62,Driver
410,2018S000372    ,Car,Man,54,Driver
413,2018S000374    ,Bike,Woman,56,Driver
414,2018S000375    ,Bike,Man,31,Driver
415,2018S000376    ,Bike,Woman,19,Driver
417,2018S000378    ,Bike,Man,35,Driver
421,2018S000382    ,Bike,Man,51,Driver
423,2018S000384    ,Bike,Woman,63,Driver
426,2018S000387    ,Bike,Man,32,Driver
427,2018S000388    ,Bike,Man,32,Driver
429,2018S000389    ,Bike,Man,46,Driver
432,2018S000392    ,Bike,Man,27,Driver
434,2018S000394    ,Bike,Man,45,Driver
435,2018S000394    ,Bike,Man,55,Driver
437,2018S000396    ,Car,Woman,54,Driver
438,2018S000397    ,Bike,Woman,35,Driver
441,2018S000399    ,Car,Man,22,Driver
442,2018S000400    ,Car,Woman,35,Driver
443,2018S000400    ,Car,Man,36,Driver
446,2018S000402    ,Car,Woman,32,Driver
447,2018S000403    ,Car,Woman,31,Driver
448,2018S000404    ,Bike,Man,24,Driver
450,2018S000406    ,Bike,Man,41,Driver
451,2018S000406    ,Car,Woman,37,Driver
452,2018S000407    ,Bike,Man,25,Driver
453,2018S000408    ,Bike,Man,47,Driver
454,2018S000409    ,Bike,Man,46,Driver
455,2018S000410    ,Bike,Man,37,Driver
458,2018S000412    ,Bike,Man,53,Driver
459,2018S000413    ,Car,Man,21,Driver
460,2018S000414    ,Bike,Man,29,Driver
461,2018S000415    ,Bike,Man,60,Driver
462,2018S000416    ,Bike,Man,31,Driver
465,2018S000418    ,Car,Man,23,Driver
466,2018S000418    ,Car,Man,30,Driver
467,2018S000419    ,Bike,Man,32,Driver
468,2018S000420    ,Bike,Man,49,Driver
469,2018S000421    ,Bike,Man,25,Driver
470,2018S000422    ,Bike,Woman,24,Driver
472,2018S000424    ,Bike,Man,24,Driver
475,2018S000425    ,Car,Man,40,Driver
476,2018S000426    ,Bike,Man,34,Driver
477,2018S000427    ,Bike,Man,34,Driver
478,2018S000428    ,Bike,Woman,43,Driver
480,2018S000430    ,Bike,Man,47,Driver
481,2018S000431    ,Bike,Woman,38,Driver
482,2018S000433    ,Bike,Man,49,Driver
483,2018S000433    ,Bike,Man,61,Driver
484,2018S000434    ,Bike,Woman,46,Driver
487,2018S000436    ,Bike,Man,41,Driver
488,2018S000437    ,Car,Woman,41,Driver
489,2018S000437    ,Car,Woman,43,Driver
493,2018S000440    ,Bike,Man,22,Driver
495,2018S000441    ,Bike,Man,46,Driver
496,2018S000442    ,Bike,Woman,25,Driver
498,2018S000443    ,Bike,Man,20,Driver
500,2018S000444    ,Bike,Man,32,Driver
502,2018S000445    ,Bike,Man,34,Driver
505,2018S000446    ,Car,Woman,43,Driver
506,2018S000447    ,Car,Woman,47,Driver
509,2018S000449    ,Bike,Woman,28,Driver
510,2018S000450    ,Bike,Man,49,Driver
511,2018S000451    ,Bike,Man,39,Driver
513,2018S000454    ,Bike,Man,26,Driver
514,2018S000455    ,Car,Man,35,Driver
515,2018S000456    ,Car,Woman,42,Driver
516,2018S000457    ,Bike,Man,37,Driver
517,2018S000458    ,Bike,Man,53,Driver
518,2018S000459    ,Bike,Man,21,Driver
519,2018S000459    ,Bike,Man,60,Driver
522,2018S000462    ,Bike,Man,39,Driver
523,2018S000463    ,Bike,Man,52,Driver
525,2018S000464    ,Bike,Man,23,Driver
527,2018S000466    ,Bike,Woman,37,Driver
530,2018S000469    ,Bike,Woman,24,Driver
532,2018S000470    ,Bike,Man,31,Driver
533,2018S000471    ,Bike,Man,32,Driver
534,2018S000472    ,Bike,Man,52,Driver
535,2018S000473    ,Bike,Woman,28,Driver
536,2018S000475    ,Bike,Man,26,Driver
537,2018S000476    ,Bike,Woman,49,Driver
538,2018S000477    ,Car,Woman,53,Driver
539,2018S000477    ,Car,Man,55,Driver
540,2018S000478    ,Bike,Man,49,Driver
542,2018S000479    ,Bike,Woman,44,Driver
543,2018S000480    ,Bike,Man,28,Driver
544,2018S000481    ,Bike,Man,22,Driver
545,2018S000482    ,Bike,Woman,52,Driver
546,2018S000484    ,Bike,Man,48,Driver
547,2018S000485    ,Bike,Woman,24,Driver
548,2018S000486    ,Bike,Man,30,Driver
549,2018S000487    ,Bike,Man,61,Driver
550,2018S000488    ,Bike,Man,38,Driver
551,2018S000489    ,Bike,Man,52,Driver
554,2018S000490    ,Car,Man,55,Driver
555,2018S000491    ,Bike,Man,31,Driver
556,2018S000493    ,Bike,Man,60,Driver
557,2018S000494    ,Bike,Man,40,Driver
558,2018S000495    ,Bike,Man,25,Driver
559,2018S000496    ,Bike,Man,56,Driver
560,2018S000497    ,Bike,Woman,23,Driver
561,2018S000498    ,Bike,Man,26,Driver
562,2018S000499    ,Bike,Man,46,Driver
563,2018S000500    ,Bike,Woman,44,Driver
564,2018S000501    ,Bike,Man,24,Driver
566,2018S000503    ,Bike,Man,42,Driver
567,2018S000504    ,Bike,Man,46,Driver
568,2018S000505    ,Bike,Woman,28,Driver
569,2018S000506    ,Bike,Man,52,Driver
572,2018S000509    ,Bike,Man,28,Driver
573,2018S000510    ,Bike,Man,41,Driver
574,2018S000511    ,Bike,Woman,23,Driver
575,2018S000512    ,Bike,Man,23,Driver
576,2018S000513    ,Bike,Woman,33,Driver
579,2018S000514    ,Car,Man,31,Driver
580,2018S000515    ,Bike,Man,31,Driver
581,2018S000516    ,Bike,Man,29,Driver
582,2018S000517    ,Bike,Man,23,Driver
583,2018S000519    ,Bike,Woman,28,Driver
585,2018S000521    ,Bike,Man,24,Driver
589,2018S000523    ,Bike,Man,31,Driver
591,2018S000524    ,Bike,Man,31,Driver
594,2018S000525    ,Car,Woman,34,Driver
598,2018S000525    ,Car,Man,42,Driver
599,2018S000525    ,Car,Man,48,Driver
600,2018S000527    ,Bike,Man,56,Driver
601,2018S000528    ,Bike,Man,62,Driver
602,2018S000529    ,Bike,Woman,54,Driver
604,2018S000532    ,Bike,Man,28,Driver
606,2018S000533    ,Bike,Man,26,Driver
607,2018S000534    ,Bike,Man,26,Driver
608,2018S000535    ,Bike,Man,45,Driver
609,2018S000536    ,Car,Man,48,Driver
611,2018S000537    ,Bike,Man,42,Driver
612,2018S000539    ,Bike,Man,28,Driver
613,2018S000540    ,Bike,Woman,28,Driver
614,2018S000541    ,Car,Man,24,Driver
615,2018S000543    ,Bike,Man,35,Driver
616,2018S000544    ,Bike,Man,27,Driver
617,2018S000546    ,Bike,Man,54,Driver
619,2018S000548    ,Bike,Man,83,Driver
620,2018S000549    ,Bike,Man,30,Driver
621,2018S000550    ,Bike,Woman,41,Driver
622,2018S000551    ,Bike,Man,53,Driver
623,2018S000551    ,Car,Woman,56,Driver
627,2018S000554    ,Bike,Man,29,Driver
630,2018S000556    ,Bike,Man,64,Driver
631,2018S000557    ,Bike,Woman,33,Driver
632,2018S000558    ,Bike,Man,39,Driver
633,2018S000559    ,Bike,Man,23,Driver
634,2018S000561    ,Bike,Woman,22,Driver
636,2018S000563    ,Car,Man,74,Driver
640,2018S000566    ,Bike,Woman,39,Driver
641,2018S000567    ,Bike,Man,55,Driver
642,2018S000568    ,Car,Man,64,Driver
644,2018S000570    ,Bike,Man,38,Driver
645,2018S000570    ,Bike,Man,43,Driver
647,2018S000571    ,Bike,Man,23,Driver
648,2018S000572    ,Bike,Woman,24,Driver
650,2018S000573    ,Bike,Man,35,Driver
653,2018S000577    ,Bike,Man,25,Driver
655,2018S000579    ,Car,Man,48,Driver
656,2018S000580    ,Bike,Man,29,Driver
657,2018S000581    ,Bike,Woman,28,Driver
659,2018S000582    ,Car,Man,25,Driver
660,2018S000583    ,Bike,Man,29,Driver
661,2018S000584    ,Bike,Man,48,Driver
662,2018S000585    ,Bike,Woman,23,Driver
663,2018S000586    ,Bike,Woman,27,Driver
664,2018S000587    ,Bike,Man,41,Driver
666,2018S000588    ,Bike,Man,28,Driver
667,2018S000589    ,Bike,Man,26,Driver
668,2018S000590    ,Bike,Man,33,Driver
669,2018S000591    ,Bike,Woman,36,Driver
670,2018S000592    ,Bike,Woman,44,Driver
672,2018S000594    ,Bike,Woman,30,Driver
673,2018S000595    ,Bike,Woman,43,Driver
674,2018S000595    ,Bike,Man,57,Driver
675,2018S000596    ,Bike,Man,66,Driver
676,2018S000597    ,Bike,Man,57,Driver
678,2018S000599    ,Car,Man,41,Driver
679,2018S000601    ,Bike,Man,19,Driver
680,2018S000602    ,Bike,Man,18,Driver
681,2018S000603    ,Bike,Man,27,Driver
682,2018S000603    ,Bike,Man,30,Driver
683,2018S000604    ,Bike,Man,55,Driver
686,2018S000606    ,Bike,Man,28,Driver
687,2018S000606    ,Car,Man,22,Driver
688,2018S000607    ,Bike,Woman,42,Driver
690,2018S000608    ,Bike,Man,24,Driver
693,2018S000611    ,Bike,Man,41,Driver
694,2018S000612    ,Bike,Woman,22,Driver
695,2018S000613    ,Bike,Man,48,Driver
696,2018S000614    ,Bike,Woman,48,Driver
697,2018S000615    ,Bike,Man,24,Driver
700,2018S000618    ,Car,Man,21,Driver
701,2018S000618    ,Car,Man,45,Driver
703,2018S000620    ,Bike,Man,53,Driver
704,2018S000621    ,Bike,Man,41,Driver
705,2018S000622    ,Bike,Man,46,Driver
706,2018S000622    ,Car,Man,44,Driver
708,2018S000624    ,Bike,Woman,58,Driver
709,2018S000625    ,Bike,Man,31,Driver
710,2018S000626    ,Bike,Woman,50,Driver
711,2018S000627    ,Bike,Woman,69,Driver
713,2018S000629    ,Bike,Woman,31,Driver
714,2018S000630    ,Bike,Man,36,Driver
715,2018S000631    ,Bike,Man,27,Driver
716,2018S000632    ,Bike,Woman,49,Driver
717,2018S000633    ,Bike,Woman,41,Driver
718,2018S000634    ,Bike,Man,43,Driver
720,2018S000636    ,Bike,Woman,28,Driver
722,2018S000638    ,Bike,Woman,43,Driver
723,2018S000639    ,Bike,Man,60,Driver
725,2018S000640    ,Car,Woman,51,Driver
726,2018S000641    ,Bike,Woman,37,Driver
727,2018S000642    ,Bike,Man,35,Driver
728,2018S000643    ,Car,Man,42,Driver
729,2018S000644    ,Bike,Man,26,Driver
730,2018S000645    ,Bike,Man,53,Driver
731,2018S000646    ,Car,Woman,22,Driver
732,2018S000647    ,Bike,Man,37,Driver
733,2018S000648    ,Bike,Man,27,Driver
734,2018S000648    ,Bike,Man,42,Driver
735,2018S000649    ,Bike,Woman,42,Driver
738,2018S000651    ,Bike,Man,42,Driver
